runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
20.4046,92143,92143,82089,82089,21,0,1.9063,0,584074,570978,1201257,57869,417,1.29582,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-1.scen
20.1053,96981,96981,85476,85476,21,0,0.825909,0,680798,335468,704125,28131,400,1.31381,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-2.scen
18.7446,91015,91015,80814,80814,21,0,0.691641,0,605005,273040,607946,14697,400,1.33908,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-3.scen
20.3678,88896,88896,81153,81153,21,0,0.676774,0,459340,271929,599385,19579,400,1.29711,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-4.scen
19.9331,96780,96780,86273,86273,21,0,0.951666,0,620421,401018,761177,62941,400,1.34636,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-5.scen
19.2512,91677,91677,80881,80881,21,0,0.732305,0,639854,292871,634809,17623,400,1.3529,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-6.scen
21.2906,97269,97269,86253,86253,21,0,0.960903,0,650375,418783,799322,52766,400,1.29046,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-7.scen
19.1863,91417,91417,82038,82038,21,0,0.797775,0,555258,350695,695930,43103,400,1.33558,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-8.scen
18.8808,87314,87314,78309,78309,21,0,0.745712,0,533585,326757,640120,38340,400,1.29572,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-9.scen
22.156,93073,93073,82931,82931,21,0,2.55249,0,582633,606937,1373252,24816,422,1.29601,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-10.scen
19.9972,95834,95834,84291,84291,21,0,0.813339,0,683192,316967,683382,22469,400,1.39377,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-11.scen
20.6363,91867,91867,82528,82528,21,0,1.78478,0,543672,991526,725622,661793,400,1.33994,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-12.scen
19.905,91825,91825,81093,81093,21,0,1.00681,0,633115,303734,631166,28653,400,1.57542,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-13.scen
20.8625,93710,93710,82252,82252,21,0,0.905848,0,677101,325303,687764,25892,400,1.3763,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-14.scen
20.7733,88631,88631,79447,79447,21,0,0.767539,0,543991,307403,632431,27692,400,1.32916,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-15.scen
20.3702,93915,93915,84781,84781,21,0,1.08926,0,538091,398900,820529,28855,400,1.40643,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-16.scen
20.8859,94592,94592,82935,82935,21,0,0.994432,0,687828,389788,707263,64522,400,1.35687,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-17.scen
20.8386,95612,95612,83545,83545,21,0,0.8722,0,713495,335273,650940,49125,400,1.36687,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-18.scen
19.9472,92215,92215,80514,80514,21,0,0.794175,0,692767,309617,647818,19804,400,1.36878,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-19.scen
20.4049,86184,86184,76656,76656,21,0,2.16069,0,551093,1300823,643602,1000843,400,1.34261,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-20.scen
22.4147,91429,91429,79662,79662,21,0,0.866708,0,695821,366687,689659,48767,400,1.31961,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-21.scen
19.9957,90695,90695,80520,80520,21,0,0.744475,0,602925,286990,614572,24770,400,1.33144,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-22.scen
20.1154,92090,92090,82087,82087,21,0,0.875922,0,591418,348733,735685,18982,400,1.35023,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-23.scen
20.602,95496,95496,85359,85359,21,0,0.964214,0,598446,409538,790428,49097,400,1.31982,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-24.scen
19.9273,93563,93563,81943,81943,21,0,2.00071,0,673952,1272734,637862,988400,400,1.32027,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/den520d-even-25.scen
