runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
21.0299,118727,118727,101125,101125,21,0,1.00691,0,1.0384e+06,367525,821725,29986,600,2.02973,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-1.scen
20.7628,125334,125334,106560,106560,21,0,1.57164,0,1.09693e+06,691495,905376,309458,600,2.432,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-2.scen
19.7842,119233,119233,102139,102139,21,0,1.55326,0,999089,713639,872010,346539,600,1.99412,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-3.scen
20.0358,119553,119553,103014,103014,21,0,0.977119,0,976179,336981,776509,26622,600,1.96599,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-4.scen
18.9024,120590,120590,103015,103015,21,0,1.01861,0,1.0366e+06,378757,847852,20939,600,1.99409,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-5.scen
18.4093,117687,117687,101760,101760,21,0,1.00439,0,939623,380244,778815,63481,600,1.97754,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-6.scen
19.5621,121609,121609,103989,103989,21,0,1.63441,0,1.0284e+06,408509,837662,58981,600,2.41789,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-7.scen
18.7111,121792,121792,104739,104739,21,0,1.03415,0,1.00554e+06,389362,825965,54634,600,1.94987,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-8.scen
18.9241,113306,113306,102013,102013,21,0,0.886163,0,667573,329494,757204,19507,600,2.0329,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-9.scen
19.3401,119408,119408,105252,105252,21,0,0.979809,0,835490,358788,821137,22380,600,1.97924,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-10.scen
19.7093,119714,119714,104920,104920,21,0,2.15638,0,855738,1083581,876555,712901,600,1.91929,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-11.scen
20.6126,120230,120230,102772,102772,21,0,1.38033,0,1.02338e+06,727859,865321,368073,600,1.95857,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-12.scen
20.1867,120038,120038,102804,102804,21,0,2.05247,0,998668,1196547,860473,824390,600,2.03609,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-13.scen
18.4676,120363,120363,102391,102391,21,0,1.06707,0,1.05914e+06,402931,846953,52173,600,1.99783,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-14.scen
19.9537,125876,125876,107867,107867,21,0,1.01541,0,1.06225e+06,373884,833299,33576,600,1.98835,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-15.scen
19.7836,121598,121598,102554,102554,21,0,0.979765,0,1.12398e+06,362674,762405,53778,600,1.98308,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-16.scen
19.3289,116275,116275,99948,99948,21,0,1.06025,0,962309,424870,754200,110095,600,1.99834,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-17.scen
20.6247,119695,119695,102791,102791,21,0,1.14127,0,994948,389894,854650,17992,600,2.01842,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-18.scen
20.3966,124357,124357,107484,107484,21,0,1.10746,0,993694,392543,864357,34453,600,1.97026,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-19.scen
19.8134,120754,120754,104823,104823,21,0,1.15749,0,937420,424689,876589,58770,600,2.00111,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-20.scen
18.9576,122225,122225,107100,107100,21,0,1.0556,0,891534,387305,872694,30516,600,1.96241,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-21.scen
20.6437,115734,115734,101623,101623,21,0,1.18256,0,829973,416212,841151,55375,600,2.02824,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-22.scen
21.6139,117729,117729,104244,104244,21,0,2.05042,0,781450,1026723,862160,652164,600,2.15545,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-23.scen
21.307,122170,122170,106543,106543,21,0,1.11868,0,920138,368324,820791,30645,600,2.12214,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-24.scen
20.718,121756,121756,105058,105058,21,0,1.05974,0,984184,386016,848067,34799,600,1.9684,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/den520d-random-25.scen
