runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.0779646,2080,2080,1706,1706,21,0,0.00507856,0,22438.1,3010,6054,34,80,0.00812066,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-1.scen
0.0898322,2102,2102,1805,1805,21,0,0.00697616,0,17817.9,2967,6275,109,80,0.0102651,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-2.scen
0.0999827,2195,2195,1846,1846,21,0,0.0109715,0,20936.2,3323,6964,42,80,0.0111389,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-3.scen
0.110975,2282,2282,1920,1920,21,0,0.025131,0,21710.9,6738,12592,83,89,0.0113161,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-4.scen
0.124852,2306,2306,1880,1880,21,0,0.0118595,0,25554.9,4301,7782,332,80,0.0101808,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-5.scen
0.0887526,2202,2202,1903,1903,21,0,0.00737461,0,17937.8,4133,7789,241,80,0.00997343,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-6.scen
0.0734157,2192,2192,1834,1834,21,0,0.00624453,0,21477.8,3437,6726,344,80,0.00856167,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-7.scen
0.071112,2145,2145,1853,1853,21,0,0.0220655,0,17513.6,9758,12092,3247,89,0.0119837,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-8.scen
0.078656,2282,2282,1860,1860,21,0,0.0209917,0,25311.1,7745,15951,141,89,0.0100313,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-9.scen
0.105077,2234,2234,1855,1855,21,0,0.00697932,0,22737.4,3510,7220,38,80,0.00956001,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-10.scen
0.133071,2446,2446,1955,1955,21,0,0.0490071,0,29435.9,15751,32869,207,110,0.00883834,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-11.scen
0.104087,2271,2271,1916,1916,21,0,0.00703123,0,21297.5,3668,7218,231,80,0.0104953,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-12.scen
0.114386,2434,2434,2073,2073,21,0,0.00866384,0,21656.9,4359,8852,36,80,0.0109839,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-13.scen
0.0781358,2270,2270,1920,1920,21,0,0.00888574,0,20996.9,4156,7879,298,80,0.011569,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-14.scen
0.0717428,2380,2380,1956,1956,21,0,0.00771718,0,25436.7,4354,8162,353,80,0.00812518,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-15.scen
0.0792003,2509,2509,2083,2083,21,0,0.0301041,0,25547.2,9930,23278,370,97,0.0104801,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-16.scen
0.118213,2379,2379,2044,2044,21,0,0.020183,0,20093.2,9157,14774,1721,89,0.00945046,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-17.scen
0.0974157,2517,2517,2073,2073,21,0,0.0319583,0,26625.8,15927,17381,6623,89,0.00985015,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-18.scen
0.102366,2256,2256,1945,1945,21,0,0.00850746,0,18657.4,3856,7499,216,80,0.0102723,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-19.scen
0.104271,2320,2320,2063,2063,21,0,0.0111187,0,15417.1,4558,8841,259,80,0.0109686,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-20.scen
0.109811,2513,2513,1984,1984,21,0,0.0383147,0,31719.7,13772,24016,690,97,0.0106439,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-21.scen
0.0632645,2318,2318,1896,1896,21,0,0.00689003,0,25317.1,4125,7808,222,80,0.00798429,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-22.scen
0.0575383,2413,2413,1929,1929,21,0,0.0165193,0,29032,8655,15969,278,95,0.00965542,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-23.scen
0.06946,2372,2372,1984,1984,21,0,0.0198313,0,23272.3,8805,17087,75,89,0.00870849,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-24.scen
0.108654,2341,2341,2008,2008,21,0,0.0277365,0,19970.8,16999,20826,5835,94,0.0137959,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-25.scen
