runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.0110873,0,2689,2,2688,2253,2,8,0.00910764,0.00395923,6868,14949,1001,109,0.011604,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-1.scen
0.00571092,0,2652,1,2630,2163,2,8,0.00445156,0.00125936,8675,16341,580,109,0.0103336,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-7.scen
0.00466002,0,2718,1,2699,2233,2,8,0.00391984,0.00074018,8233,13538,913,109,0.0101979,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-11.scen
0.0197072,0,2754,2,2748,2288,4,8,0.0125501,0.00896103,7350,20044,137,124,0.0137825,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-13.scen
0.0191944,0,2630,1,2617,2212,2,8,0.0162055,0.0029889,6679,15000,301,109,0.0335807,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-14.scen
0.0211672,0,2562,1,2557,2087,3,5,0.0162761,0.00489117,10921,22582,292,111,0.0245886,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-16.scen
0.00759687,0,2590,1,2587,2056,2,7,0.0067899,0.000806973,5243,13403,241,108,0.0110741,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-17.scen
0.00721568,0,2696,1,2667,2157,2,8,0.00402035,0.00319534,8464,15283,650,109,0.0118836,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-18.scen
0.0117361,0,2545,1,2531,2229,2,8,0.00872772,0.00300833,4810,12024,103,109,0.0208336,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-21.scen
0.0175076,0,2805,2,2799,2193,2,8,0.0106084,0.0137985,7492,16125,627,109,0.013042,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-22.scen
0.032648,0,2601,1,2596,2259,7,8,0.0064615,0.0261865,16704,32540,349,146,0.010763,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-25.scen
