runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.0425113,255,255,242,242,21,0,0.000392259,0,779.995,265,620,0,10,0.00121968,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-10-even-1.scen
0.0594636,232,232,232,232,21,0,0.000319617,0,0,242,572,0,10,0.00254149,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-10-even-2.scen
0.0629918,278,278,278,278,21,0,0.000345605,0,0,290,693,0,10,0.00223015,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-10-even-3.scen
0.0556201,187,187,173,173,21,0,0.000364225,0,839.995,218,477,0,10,0.00405711,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-10-even-4.scen
0.0368406,253,253,235,235,21,0,0.000340894,0,1079.99,260,618,0,10,0.002215,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-10-even-5.scen
0.0356536,246,246,246,246,21,0,0.000369458,0,0,256,633,0,10,0.00272032,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-10-even-6.scen
0.0389102,279,279,279,279,21,0,0.000365275,0,0,289,727,0,10,0.0016344,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-10-even-7.scen
0.0469227,210,210,210,210,21,0,0.000341527,0,0,220,543,0,10,0.00137729,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-10-even-8.scen
0.0500454,339,339,339,339,21,0,0.000580147,0,0,350,835,0,10,0.00123524,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-10-even-9.scen
0.0392989,165,165,159,159,21,0,0.000242245,0,359.999,173,416,0,10,0.00447543,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-10-even-10.scen
0.040885,307,307,307,307,21,0,0.000589748,0,0,333,774,0,10,0.00166624,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-10-even-11.scen
