runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
20.8311,205622,205622,158377,158377,21,0,8.16971,0,2.44872e+06,5724143,1559729,4604185,800,1.838,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-1.scen
32.4922,199445,199445,154090,154090,21,0,21.1247,0,1.76319e+06,8597446,3548965,6792524,830,1.90867,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-2.scen
23.4587,201450,201450,151669,151669,21,0,10.8497,0,2.44675e+06,8096699,1636551,6901658,800,1.98584,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-3.scen
23.0062,198548,198548,153794,153794,21,0,10.4883,0,2.21585e+06,7553872,1497682,6472277,800,1.85405,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-4.scen
33.2644,192549,192549,150353,150353,21,0,21.9492,0,1.60559e+06,9355448,3376375,7716292,831,1.8425,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-5.scen
18.9071,191046,191046,152194,152194,21,0,6.59725,0,2.0748e+06,5099033,1405115,4088198,800,1.85836,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-6.scen
19.2646,199755,199755,153363,153363,21,0,5.5124,0,2.52779e+06,4624097,1362366,3652831,800,1.86198,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-7.scen
25.1075,197104,197104,150118,150118,21,0,13.5319,0,2.18335e+06,7146986,2353828,5916408,815,1.89862,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-8.scen
34.1633,211134,211134,159768,159768,21,0,19.2821,0,2.09151e+06,8786003,2875219,7425422,809,1.92841,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-9.scen
21.049,203221,203221,155182,155182,21,0,7.84855,0,2.5053e+06,6086320,1618209,4901011,800,1.89099,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-10.scen
26.9411,204548,204548,154923,154923,21,0,14.5871,0,2.25361e+06,6483401,2990138,5039317,817,1.86549,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-11.scen
41.6262,207056,207056,156055,156055,21,0,30.1527,0,1.52224e+06,12243788,5014878,9890200,856,1.84455,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-12.scen
19.8386,202343,202343,154865,154865,21,0,7.79774,0,2.47846e+06,4851345,1752071,3759773,817,1.89293,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-13.scen
26.3541,209605,209605,155767,155767,21,0,14.5064,0,2.44928e+06,7270030,2287538,6023216,809,1.8908,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-14.scen
24.3719,200668,200668,156563,156563,21,0,10.218,0,2.19564e+06,7572284,1654051,6358181,800,1.99215,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-15.scen
26.7747,213096,213096,162983,162983,21,0,12.6929,0,2.3707e+06,5319478,2683829,4202898,809,2.20053,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-16.scen
20.2529,202906,202906,151210,151210,21,0,8.52335,0,2.66114e+06,5902246,1828638,4677472,809,1.92647,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-17.scen
23.9382,205477,205477,157003,157003,21,0,11.2334,0,2.36391e+06,6719907,1523853,5632879,800,1.94945,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-18.scen
28.4274,199618,199618,154493,154493,21,0,17.0069,0,1.94006e+06,6558134,3113902,5082021,825,1.93495,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-19.scen
30.4692,208078,208078,156868,156868,21,0,18.9027,0,2.10459e+06,8502882,3125137,6698171,823,1.8708,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-20.scen
19.439,208740,208740,156697,156697,21,0,6.61517,0,2.77831e+06,5041181,1441280,4048329,800,1.98124,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-21.scen
18.0332,198240,198240,151992,151992,21,0,4.40314,0,2.57124e+06,3379433,1287118,2481103,800,1.92101,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-22.scen
21.514,201009,201009,156073,156073,21,0,9.50227,0,2.26917e+06,4168028,2550182,3005759,838,1.94207,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-23.scen
52.2906,207294,207294,158972,158972,21,0,38.9215,0,1.01856e+06,13110869,7173408,9612346,922,1.92264,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-24.scen
32.7885,212692,212692,158007,158007,21,0,20.7057,0,2.14881e+06,6863500,3038494,5500518,809,2.01982,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-25.scen
